station_id_aq,longitude,latitude,D1,D2,D3,api_key
dongsi_aq,116417,39929,1,NA,NA,apikey
tiantan_aq,116407,39886,2,NA,NA,apikey
guanyuan_aq,116339,39929,3,NA,NA,apikey
wanshouxigong_aq,116352,39878,4,NA,NA,apikey
aotizhongxin_aq,116397,39982,5,NA,NA,apikey
nongzhanguan_aq,116461,39937,6,NA,NA,apikey
wanliu_aq,116287,39987,7,NA,NA,apikey
beibuxinqu_aq,116174,40.09,8,NA,NA,apikey
zhiwuyuan_aq,116207,40002,9,NA,NA,apikey
fengtaihuayuan_aq,116279,39863,10,NA,NA,apikey
yungang_aq,116146,39824,1,NA,NA,apikey
gucheng_aq,116184,39914,2,NA,NA,apikey
fangshan_aq,116136,39742,3,NA,NA,apikey
daxing_aq,116404,39718,4,NA,NA,apikey
yizhuang_aq,116506,39795,5,NA,NA,apikey
tongzhou_aq,116663,39886,6,NA,NA,apikey
shunyi_aq,116655,40127,7,NA,NA,apikey
pingchang_aq,116.23,40217,8,NA,NA,apikey
mentougou_aq,116106,39937,9,NA,NA,apikey
pinggu_aq,117.1,40143,10,NA,NA,apikey
huairou_aq,116628,40328,NA,1,NA,apikey
miyun_aq,116832,40.37,NA,2,NA,apikey
yanqin_aq,115972,40453,NA,3,NA,apikey
dingling_aq,116.22,40292,NA,4,NA,apikey
badaling_aq,115988,40365,NA,5,NA,apikey
miyunshuiku_aq,116911,40499,NA,6,NA,apikey
donggaocun_aq,117.12,40.1,NA,7,NA,apikey
yongledian_aq,116783,39712,NA,8,NA,apikey
yufa_aq,116.3,39.52,NA,9,NA,apikey
liulihe_aq,116,39.58,NA,10,NA,apikey
qianmen_aq,116395,39899,NA,1,NA,apikey
yongdingmennei_aq,116394,39876,NA,2,NA,apikey
xizhimenbei_aq,116349,39954,NA,3,NA,apikey
nansanhuan_aq,116368,39856,NA,4,NA,apikey
dongsihuan_aq,116483,39939,NA,5,NA,apikey
BX9,0.184877127,51.46598327,NA,6,NA,apikey
BX1,0.184877127,51.46598327,NA,7,NA,apikey
BL0,-0.125848,51.522287,NA,8,NA,apikey
CD9,-0.129053205,51.52770662,NA,9,NA,apikey
CD1,-0.175284,51.544219,NA,10,NA,apikey
CT2,-0.104515626,51.51452534,NA,NA,1,apikey
CT3,-0.077765682,51.51384718,NA,NA,2,apikey
CR8,-0.127523,51.410039,NA,NA,3,apikey
GN0,0.074003,51.490532,NA,NA,4,apikey
GR4,0.070766,51.45258,NA,NA,5,apikey
GN3,0.095111,51.486957,NA,NA,6,apikey
GR9,0.040725,51.456357,NA,NA,7,apikey
GB0,0.085606,51.4563,NA,NA,8,apikey
HR1,-0.298775,51.617327,NA,NA,9,apikey
HV1,0.205460706,51.52078746,NA,NA,10,apikey
LH0,-0.441627,51.48878,NA,NA,1,apikey
KC1,-0.21349214,51.521046749999996,NA,NA,2,apikey
KF1,-0.21349214,51.521046749999996,NA,NA,3,apikey
LW2,-0.039641,51.474954,NA,NA,4,apikey
RB7,0.082907475,51.56948433,NA,NA,5,apikey
TD5,-0.345608291,51.42525604,NA,NA,6,apikey
ST5,-0.141661525,51.3892869,NA,NA,7,apikey
TH4,-0.008418493,51.51504617,NA,NA,8,apikey
MY7,-0.15459,51.52254,NA,NA,9,apikey
